sub,cond,dist
501,3,302
501,3,65
501,3,-188
501,3,-94
501,4,227
501,4,243
501,4,111
501,4,204
501,2,158
501,2,-223
501,2,-126
501,2,231
501,1,156
501,1,-90
501,1,-54
501,1,0
502,4,236
502,4,-234
502,4,243
502,4,-255
502,3,189
502,3,473
502,3,251
502,3,318
502,1,180
502,1,-226
502,1,-242
502,1,-179
502,2,-227
502,2,-244
502,2,-248
502,2,0
503,2,115
503,2,95
503,2,153
503,2,130
503,1,126
503,1,145
503,1,93
503,1,140
503,4,132
503,4,106
503,4,108
503,4,129
503,3,115
503,3,144
503,3,118
503,3,0
504,1,82
504,1,76
504,1,-96
504,1,-58
504,2,-60
504,2,129
504,2,-87
504,2,173
504,3,151
504,3,134
504,3,-112
504,3,125
504,4,-56
504,4,153
504,4,126
504,4,0
505,4,189
505,4,187
505,4,-211
505,4,299
505,2,-172
505,2,-169
505,2,316
505,2,350
505,1,-133
505,1,-163
505,1,-177
505,1,-324
505,3,178
505,3,-105
505,3,124
505,3,0
506,3,61
506,3,-82
506,3,-59
506,3,-118
506,1,-92
506,1,106
506,1,150
506,1,-185
506,4,-118
506,4,-140
506,4,104
506,4,-119
506,2,-217
506,2,227
506,2,-209
506,2,0
507,1,180
507,1,182
507,1,195
507,1,164
507,3,215
507,3,217
507,3,181
507,3,186
507,2,147
507,2,-161
507,2,150
507,2,159
507,4,-149
507,4,-183
507,4,148
507,4,0
508,2,-223
508,2,284
508,2,-242
508,2,-227
508,4,-208
508,4,-210
508,4,-228
508,4,-258
508,3,-188
508,3,-232
508,3,205
508,3,185
508,1,248
508,1,-223
508,1,-178
508,1,0
509,2,219
509,2,75
509,2,277
509,2,-191
509,4,189
509,4,-340
509,4,347
509,4,-135
509,1,89
509,1,-405
509,1,-208
509,1,60
509,3,-465
509,3,333
509,3,-277
509,3,0
510,3,-83
510,3,67
510,3,69
510,3,68
510,1,108
510,1,-140
510,1,-261
510,1,-92
510,4,-122
510,4,-75
510,4,-158
510,4,-107
510,2,-117
510,2,-105
510,2,-124
510,2,0
511,1,168
511,1,140
511,1,113
511,1,99
511,2,107
511,2,150
511,2,151
511,2,113
511,3,113
511,3,107
511,3,143
511,3,117
511,4,125
511,4,121
511,4,130
511,4,0
512,4,97
512,4,158
512,4,153
512,4,137
512,3,134
512,3,99
512,3,133
512,3,120
512,2,90
512,2,129
512,2,-100
512,2,120
512,1,-167
512,1,-115
512,1,95
512,1,0
513,4,115
513,4,102
513,4,98
513,4,93
513,1,109
513,1,141
513,1,168
513,1,139
513,3,166
513,3,104
513,3,130
513,3,148
513,2,157
513,2,179
513,2,151
513,2,0
514,1,133
514,1,121
514,1,-124
514,1,-88
514,4,281
514,4,-184
514,4,207
514,4,-121
514,2,167
514,2,188
514,2,162
514,2,-211
514,3,204
514,3,190
514,3,148
514,3,0
515,3,62
515,3,56
515,3,96
515,3,-64
515,2,61
515,2,76
515,2,122
515,2,77
515,4,-73
515,4,96
515,4,115
515,4,63
515,1,73
515,1,69
515,1,64
515,1,0
516,2,133
516,2,116
516,2,115
516,2,129
516,3,-119
516,3,-138
516,3,123
516,3,145
516,1,188
516,1,-158
516,1,167
516,1,-175
516,4,-199
516,4,-147
516,4,-205
516,4,0
517,4,139
517,4,147
517,4,-156
517,4,-154
517,3,-133
517,3,-115
517,3,90
517,3,-116
517,2,104
517,2,94
517,2,52
517,2,112
517,1,120
517,1,137
517,1,141
517,1,0
518,2,-128
518,2,-108
518,2,-123
518,2,-131
518,4,-89
518,4,-110
518,4,-99
518,4,-127
518,1,-108
518,1,-137
518,1,-125
518,1,-136
518,3,-180
518,3,-101
518,3,-126
518,3,0
519,1,360
519,1,183
519,1,-197
519,1,-232
519,2,-248
519,2,-329
519,2,-258
519,2,119
519,3,115
519,3,-316
519,3,-143
519,3,-242
519,4,-403
519,4,-259
519,4,-261
519,4,0
520,3,209
520,3,-129
520,3,386
520,3,-342
520,1,101
520,1,441
520,1,140
520,1,-361
520,4,-105
520,4,-228
520,4,241
520,4,-88
520,2,-174
520,2,157
520,2,-119
520,2,0
521,1,87
521,1,117
521,1,120
521,1,102
521,2,111
521,2,102
521,2,109
521,2,101
521,4,90
521,4,100
521,4,96
521,4,71
521,3,102
521,3,85
521,3,72
521,3,0
522,2,-267
522,2,-98
522,2,162
522,2,253
522,1,-61
522,1,151
522,1,-156
522,1,143
522,3,245
522,3,179
522,3,257
522,3,239
522,4,-195
522,4,-140
522,4,296
522,4,0
523,3,-162
523,3,-141
523,3,-172
523,3,-156
523,4,-138
523,4,-152
523,4,-169
523,4,-143
523,1,-183
523,1,-163
523,1,-125
523,1,-158
523,2,-113
523,2,-142
523,2,-162
523,2,0
524,4,81
524,4,87
524,4,107
524,4,78
524,3,75
524,3,71
524,3,82
524,3,81
524,2,64
524,2,66
524,2,73
524,2,70
524,1,102
524,1,87
524,1,84
524,1,0
525,3,-207
525,3,188
525,3,-268
525,3,322
525,4,295
525,4,113
525,4,-147
525,4,-57
525,2,75
525,2,-251
525,2,-83
525,2,-102
525,1,106
525,1,-124
525,1,133
525,1,0
526,4,131
526,4,-134
526,4,-128
526,4,-145
526,3,-132
526,3,-125
526,3,116
526,3,-182
526,1,183
526,1,-262
526,1,220
526,1,-204
526,2,-202
526,2,-222
526,2,-205
526,2,0
